Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
A.農、林、漁、牧業#生產總額(新台幣百萬元),1981,A,原始值,269102
A.農、林、漁、牧業#中間消費(新台幣百萬元),1981,A,原始值,136413
A.農、林、漁、牧業#國內生產毛額(新台幣百萬元),1981,A,原始值,132689
A.農、林、漁、牧業#生產及進口稅淨額(新台幣百萬元),1981,A,原始值,1481
A.農、林、漁、牧業#固定資本消耗(新台幣百萬元),1981,A,原始值,5601
A.農、林、漁、牧業#受僱人員報酬(新台幣百萬元),1981,A,原始值,41554
A.農、林、漁、牧業#營業盈餘(新台幣百萬元),1981,A,原始值,84053
AA.農耕業#生產總額(新台幣百萬元),1981,A,原始值,120916
AA.農耕業#中間消費(新台幣百萬元),1981,A,原始值,36925
AA.農耕業#國內生產毛額(新台幣百萬元),1981,A,原始值,83991
AA.農耕業#生產及進口稅淨額(新台幣百萬元),1981,A,原始值,1348
AA.農耕業#固定資本消耗(新台幣百萬元),1981,A,原始值,3328
AA.農耕業#受僱人員報酬(新台幣百萬元),1981,A,原始值,19878
AA.農耕業#營業盈餘(新台幣百萬元),1981,A,原始值,59437
AB.畜牧業#生產總額(新台幣百萬元),1981,A,原始值,84584
AB.畜牧業#中間消費(新台幣百萬元),1981,A,原始值,69573
AB.畜牧業#國內生產毛額(新台幣百萬元),1981,A,原始值,15011
AB.畜牧業#生產及進口稅淨額(新台幣百萬元),1981,A,原始值,6
AB.畜牧業#固定資本消耗(新台幣百萬元),1981,A,原始值,23
AB.畜牧業#受僱人員報酬(新台幣百萬元),1981,A,原始值,845
AB.畜牧業#營業盈餘(新台幣百萬元),1981,A,原始值,14137
AC.林業#生產總額(新台幣百萬元),1981,A,原始值,12272
AC.林業#中間消費(新台幣百萬元),1981,A,原始值,3115
AC.林業#國內生產毛額(新台幣百萬元),1981,A,原始值,9157
AC.林業#生產及進口稅淨額(新台幣百萬元),1981,A,原始值,-77
AC.林業#固定資本消耗(新台幣百萬元),1981,A,原始值,316
AC.林業#受僱人員報酬(新台幣百萬元),1981,A,原始值,7237
AC.林業#營業盈餘(新台幣百萬元),1981,A,原始值,1681
AD.漁業#生產總額(新台幣百萬元),1981,A,原始值,51330
AD.漁業#中間消費(新台幣百萬元),1981,A,原始值,26800
AD.漁業#國內生產毛額(新台幣百萬元),1981,A,原始值,24530
AD.漁業#生產及進口稅淨額(新台幣百萬元),1981,A,原始值,204
AD.漁業#固定資本消耗(新台幣百萬元),1981,A,原始值,1934
